Text,Sentiment,
"Such an easy app to use, really quick and easy to set up and had absolutely no problems with drivers.",positive,
The drivers and the services have been exceptional since ever,positive,
All rides have been enjoyable.,positive,
Driver very knew where I was,neutral,
most driver's are child friendly and patient.,positive,
Quick and easy to use and drivers are quite friendly 😊,positive,
I Love this App.....its easy☮️shows you the person who will drive for u and his Name too,positive,
Best drivers ever,positive,
Good travel with the app,positive,
Cabs r clean & drivers too,positive,
Love the rides,positive,
"Fast, affordable & efficient means to get to any destination in Nairobi.",positive,
Perfect transport,positive,
But the rider are vey wicked there use to add money on it.,negative,
Its an easiest way to find a transport and its safer,positive,
Safe to travel with,positive,
Always a good ride and very good drivers,positive,
The kids loved the spacious ride.,positive,
I enjoyed my ride,positive,
Clean cars!,positive,
Best service and best prices!,positive,
"Fast and convenient, friendly drivers with a smile..",positive,
I have never encounted any bad experience even the drivers are professional,positive,
Most convenient way of moving around ever!,positive,
Nice ride's ☺️,positive,
"Always satisfied, and the drivers come on time",positive,
Excellent rides and good driving skills been displayed.,positive,
My ride with bold and use of bolt had been nothing but exceptionally great,positive,
Good driver ever,positive,
Awesome and driver very good,positive,
Other cars are super clean.,positive,
Great drivers hospitable,positive,
You dont wait longer than 15 mins I love it and the prices are reasonable,neutral,
Very efficient.Drivers are awesome,positive,
Great drivers and cars,positive,
Its nice drivers are always friendly,positive,
cheapeat rate in Saudi,positive,
Drivers are always profesional.,positive,
"They give you a waiting time, but it is never respected, and not by 1 min, or 2.",negative,
The drivers shouldn t be aloud to give impossible pickup time.,negative,
Generally okay but wait time could be better,neutral,
drivers are friendly and cars are clean.,positive,
"As a regular user, they have definitely spiked the prices to be ridiculous amounts",negative,
I requested for help on the app but still no reply.,negative,
Utterly disappointed Will be deleting my account with bolt,negative,
Answer to CS: I already sent a message in the app.,neutral,
Have recieved multiple emails of someone using my email address for their rides as there is no email verification etc.. would be extremely worried to use this service and put payment details into it.,negative,
I don't think i can trust the app again or request a cab it feels just feel bad,negative,
